Timestamp,Polarity,Subjectivity,Tweet
Thu Jan 04 08:31:00 +0000 2018,0.20,0.20,"""RT @iotatokennews: #IOTA - \""There is way too much planned and lined up for 2018 to cover in this preview- 45 x Q\"" (https:\/\/t.co\/PaPnDirNTG)\u2026"""
Thu Jan 04 08:31:01 +0000 2018,-0.80,1.00,"""@Daddy what crypto currency do I invest some money into? I\u2019m stupid"""
Thu Jan 04 08:31:00 +0000 2018,0.00,0.00,"""RT @JpCointelegraph: \u6b62\u307e\u3089\u306a\u3044\u30ea\u30c3\u30d7\u30eb\u529b\u5f37\u304f\u7d9a\u4f38\u3067\uff13\uff15\uff10\u5186\u8d85\u3048 \u6642\u4fa1\u7dcf\u984d\u3082\u30d3\u30c3\u30c8\u30b3\u30a4\u30f3\u306e\u534a\u5206\u306b\nhttps:\/\/t.co\/krWj3JYAlb"""
Thu Jan 04 08:31:01 +0000 2018,0.00,0.00,"""Getting Started with #BitcoinMining https:\/\/t.co\/1k5pt8eWoP"""
Thu Jan 04 08:31:01 +0000 2018,0.00,0.00,"""\u201cThe #Tokenization of Research\u201d https:\/\/t.co\/MgSiDsTp7c #cryptocurrency #tokenomics"""
Thu Jan 04 08:31:01 +0000 2018,0.50,0.15,"""xytfz,\n\nTHE BEST DIGITAL CURRENCY EXCHANGE\n\n\u279c\u279c https:\/\/t.co\/Cm3uCwzINR\n\nXRP \u265d IOTA \u261a LTC \u263d XLM \u266e TRX BUY \u263c ETH\n\n600248705qorzndxvb yglbqhjos"""
Thu Jan 04 08:31:01 +0000 2018,0.00,0.00,"""yqopj,\n\nBEST CRYPTOCURRENCY EXCHANGE SITE\n\n\u279c\u279c https:\/\/t.co\/sxucjD9XO9\n\nXRP \u2643 IOTA \u260d LTC \u263d XLM \u2634 TRX BUY \u261d ETH\n\n189638053nlfqtvojh stegbuxvh"""
Thu Jan 04 08:31:02 +0000 2018,0.80,0.75,"""RT @SudanGoldCoin: And another great news from SGC team. We've updated our website and added BTC Cash to the list of supported cryptocurren\u2026"""
Thu Jan 04 08:31:02 +0000 2018,0.00,0.00,"""nszbo,\n\nBUY XVG NO VERIFICATION WAIT TIMES!\n\n\u279c\u279c https:\/\/t.co\/QvcHK92Jnu\n\nXRP \u2619 IOTA \u2687 LTC \u2617 XLM \u264b TRX BUY \u264c ETH\n\n16\u2026 https:\/\/t.co\/5zVvdGVnIa"""
Thu Jan 04 08:31:02 +0000 2018,0.00,0.00,"""RT @mentalitycz: #litecoin check this out. If you zoom out we are getting to breakout point. According to ATH at transaction rates I would\u2026"""
Thu Jan 04 08:31:02 +0000 2018,0.42,0.86,"""RT @cryptomerckkkk: I Will be giving away 0.25 #bitcoin to One Lucky person at 4250 followers. follow and retweet to enter Also make sure t\u2026"""
Thu Jan 04 08:31:02 +0000 2018,0.00,0.00,"""auwre,\n\nGET YOUR XRP HERE!\n\n\u279c\u279c https:\/\/t.co\/gx5iofiove\n\nXRP \u2605 IOTA \u2670 LTC \u264c XLM \u2616 TRX BUY \u2636 ETH\n\n866193779dnwprghfk pshmwizbl"""
Thu Jan 04 08:31:01 +0000 2018,0.00,0.00,"""Gestern oft gelesen: Dieses Portr\u00e4t von Robert K\u00fcfner erkl\u00e4rt den #Bitcoin-Hype besser als jedes Hintergrundst\u00fcck.\u2026 https:\/\/t.co\/CnyhRf8q9y"""
Thu Jan 04 08:31:01 +0000 2018,0.25,0.33,"""\ud83d\udc49  Lucyd: GOLD label at CoinSchedule \ud83d\udc48 \n\nThe first #ICO developing blockchain-fueled smartglasses\n\nGET BONUS NOW:\u2026 https:\/\/t.co\/TCP0jDB258"""
Thu Jan 04 08:31:02 +0000 2018,-0.52,0.77,"""Altcoin News - Bitcoin Hard Fork Segwit2x, Coinbase Bitcoin Cash, Ember Coin - https:\/\/t.co\/CzAuJYmPpZ #cryptocoins\u2026 https:\/\/t.co\/NZWltBxQJZ"",""display_text_range"":[0,140]"
Thu Jan 04 08:31:03 +0000 2018,0.00,0.00,"""Bitcoin Isn't a Currency, It's a Commodity\u2014Price It That Way https:\/\/t.co\/fNPPWZCts0"""
Thu Jan 04 08:31:03 +0000 2018,0.00,0.00,"""jnful,\n\nLTC LITECOIN EXCHANGE - NO ID VERIFICATION\n\n\u279c\u279c https:\/\/t.co\/F4DLRsakar\n\nXRP \u263d IOTA \u2683 LTC \u2679 XLM \u2613 TRX BUY \u2660\u2026 https:\/\/t.co\/DloSyuA4zG"""
