NAME_NICKNAME,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Georgi Karakhanyan_Insane,24-4-1,"5' 8""",145 lbs.,--,,29-May-85,4.49,39%,5,54%,1.41,50%,33%,1.9,http://www.fightmetric.com/fighter-details/43292ecf0e72c143
Sheymon Moraes_,9/2/2000,"5' 8""",145 lbs.,"72""",Orthodox,11-Oct-90,1.24,58%,2.34,51%,0,0%,26%,0,http://www.fightmetric.com/fighter-details/0d62719b1dcf7c40
OJ Dominguez_,0-1-0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/1a50e734bb54861a
Tomasz Drwal_Gorilla,19-4-1,"6' 1""",205 lbs.,"76""",Orthodox,22-Jan-82,3.29,38%,2.26,57%,3.55,60%,82%,0.4,http://www.fightmetric.com/fighter-details/679a9054e2815943
George Zuniga_,3/1/2000,"5' 9""",185 lbs.,--,,--,7.64,38%,5.45,37%,0,0%,100%,0,http://www.fightmetric.com/fighter-details/1291dd6b8ab4d952
Dustin Hazelett_McLovin,12/7/2000,"6' 1""",170 lbs.,"76""",Orthodox,29-Apr-86,2.24,40%,3.51,46%,0.55,50%,25%,4.1,http://www.fightmetric.com/fighter-details/a149d6bc670cdb60
Courtney Turner_,0-3-0,"6' 2""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/56f4b81ec4db61af
Rory Singer_Outburst,11/9/2000,"6' 2""",185 lbs.,"77""",Orthodox,28-May-76,2.55,39%,2.42,63%,0.39,25%,64%,0.8,http://www.fightmetric.com/fighter-details/546015aa2ad945fd
Micah Miller_Maverick,17-4-0 (1 NC),"6' 0""",145 lbs.,--,Orthodox,14-Feb-87,1.33,33%,2.15,54%,0.98,37%,21%,2,http://www.fightmetric.com/fighter-details/3ff0d0dc7a14bb50
Sam Hoger_The Alaskan Assassin,10/4/2000,"6' 2""",205 lbs.,--,Orthodox,28-Jun-80,1.07,25%,2.25,57%,1.12,38%,29%,1.3,http://www.fightmetric.com/fighter-details/84a067c46306a737
Nick Denis_The Ninja of Love,11/3/2000,"5' 7""",135 lbs.,--,Orthodox,11-Oct-83,6.54,53%,5.42,36%,2.8,100%,80%,0,http://www.fightmetric.com/fighter-details/e4aaaa34535e32b6
Paul Herrera_The Bone Crusher,1/1/2000,"5' 10""",185 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/440c9dbab63528fb
Renato Sobral_Babalu,36-9-0,"6' 1""",205 lbs.,"75""",Orthodox,7-Sep-75,2.23,45%,1.53,57%,2.48,42%,65%,2.6,http://www.fightmetric.com/fighter-details/d468288756ae3982
Jamie Varner_,21-11-1 (2 NC),"5' 8""",155 lbs.,"72""",Orthodox,12-Oct-84,2.92,34%,2.55,58%,3.49,53%,66%,0.8,http://www.fightmetric.com/fighter-details/a54fc2d6fc224dc3
Rory MacDonald_Red King,18-4-0,"6' 0""",170 lbs.,"76""",Orthodox,22-Jul-89,3.75,42%,2.8,62%,1.77,47%,88%,0.4,http://www.fightmetric.com/fighter-details/cbd5d3cdd862e90e
Jeimeson Saudino_The Minion,8/5/2000,"5' 6""",135 lbs.,--,,5-Mar-91,0.66,30%,0.82,84%,2.47,50%,0%,2.5,http://www.fightmetric.com/fighter-details/f6f9d41669dd3eaa
Brent Primus_,8-0-0,"5' 10""",155 lbs.,--,,12-Apr-85,1.73,39%,2.27,59%,5,38%,0%,2,http://www.fightmetric.com/fighter-details/46caf130099206cd
Cody Gibson_The Renegade,12/6/2000,"5' 10""",135 lbs.,"71""",Orthodox,11-Sep-87,2.47,31%,2.54,63%,1.85,38%,58%,0.4,http://www.fightmetric.com/fighter-details/700a674c042b7a96
Charles Rosa_Boston Strong,11/3/2000,"5' 9""",145 lbs.,"69""",Switch,24-Aug-86,3.85,36%,4,51%,2.93,34%,50%,1.1,http://www.fightmetric.com/fighter-details/40093d1d2d78394e
Gabe Lemley_,13-9-0,"5' 8""",155 lbs.,--,Orthodox,--,0.82,35%,6.03,45%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/fd4578cac86d75ca
Elvis Mutapcic_The King,15-5-1,"6' 0""",185 lbs.,"72""",Orthodox,19-Jul-86,3.41,40%,4.27,38%,0,0%,81%,0,http://www.fightmetric.com/fighter-details/28c55b4087a6f136
John Makdessi_The Bull,15-6-0,"5' 8""",155 lbs.,"68""",Orthodox,3-May-85,5.17,50%,3.75,71%,0,0%,87%,0,http://www.fightmetric.com/fighter-details/c21a036b4e012f1c
Chad Vance_,6/5/2000,"6' 0""",185 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/26d61e92a6069cd2
Naho Sugiyuma_Sugi Rock,12/5/2000,"5' 1""",105 lbs.,--,,3-Feb-78,2.59,48%,2.45,71%,2.05,100%,66%,0,http://www.fightmetric.com/fighter-details/b205d4f2ff44bc89
Rick Roufus_,4/6/2000,"6' 0""",207 lbs.,--,Southpaw,--,0.53,33%,1.06,33%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/872b018076f831b0
Chan Sung Jung_The Korean Zombie,14-4-0,"5' 7""",145 lbs.,"72""",Orthodox,17-Mar-87,3.78,38%,3.45,62%,1.12,71%,68%,0.9,http://www.fightmetric.com/fighter-details/c451d67c09c55418
Kelvin Gastelum_,15-3-0 (1 NC),"5' 9""",185 lbs.,"71""",Southpaw,24-Oct-91,3.89,44%,2.73,62%,0.9,50%,58%,0.2,http://www.fightmetric.com/fighter-details/8c0580d4fff106c1
Frankie Perez_,10/4/2000,"5' 11""",155 lbs.,"73""",Orthodox,11-May-89,1.64,41%,2.17,54%,1.75,41%,50%,0.3,http://www.fightmetric.com/fighter-details/96c336b463e0662c
Oskar Piechota_Imadlo,10-0-1,"6' 0""",185 lbs.,"76""",Southpaw,24-Jan-90,3.73,60%,1.13,71%,1,33%,0%,3,http://www.fightmetric.com/fighter-details/1cf7ccf64a5bf24e
Wade Shipp_The Nightmare,10/5/2000,"6' 3""",245 lbs.,--,Orthodox,9-Feb-75,4.29,86%,2.14,0%,0,0%,75%,0,http://www.fightmetric.com/fighter-details/a9a314cc77d90b6e
Joe Veres_,4/3/2000,"5' 7""",155 lbs.,--,Orthodox,9-Nov-77,0,0%,5.55,27%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/c6d8ae3b016d5ad5
Anthony Hamilton_Freight Train,15-9-0,"6' 5""",260 lbs.,"76""",Orthodox,14-Apr-80,3.91,65%,3.02,45%,2.62,42%,78%,0,http://www.fightmetric.com/fighter-details/c727c7d31c50c4cf
Raphael Assuncao_,26-5-0,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,3.37,40%,2.29,69%,1.36,33%,79%,0.3,http://www.fightmetric.com/fighter-details/2f13e4020cea5b38
