Fighter Name,Fighter URL
Georgi Karakhanyan_Insane,http://www.fightmetric.com/fighter-details/43292ecf0e72c143
Sheymon Moraes_,http://www.fightmetric.com/fighter-details/0d62719b1dcf7c40
OJ Dominguez_,http://www.fightmetric.com/fighter-details/1a50e734bb54861a
Tomasz Drwal_Gorilla,http://www.fightmetric.com/fighter-details/679a9054e2815943
George Zuniga_,http://www.fightmetric.com/fighter-details/1291dd6b8ab4d952
Dustin Hazelett_McLovin,http://www.fightmetric.com/fighter-details/a149d6bc670cdb60
Courtney Turner_,http://www.fightmetric.com/fighter-details/56f4b81ec4db61af
Rory Singer_Outburst,http://www.fightmetric.com/fighter-details/546015aa2ad945fd
Micah Miller_Maverick,http://www.fightmetric.com/fighter-details/3ff0d0dc7a14bb50
Sam Hoger_The Alaskan Assassin,http://www.fightmetric.com/fighter-details/84a067c46306a737
Nick Denis_The Ninja of Love,http://www.fightmetric.com/fighter-details/e4aaaa34535e32b6
Paul Herrera_The Bone Crusher,http://www.fightmetric.com/fighter-details/440c9dbab63528fb
Renato Sobral_Babalu,http://www.fightmetric.com/fighter-details/d468288756ae3982
Jamie Varner_,http://www.fightmetric.com/fighter-details/a54fc2d6fc224dc3
Rory MacDonald_Red King,http://www.fightmetric.com/fighter-details/cbd5d3cdd862e90e
Jeimeson Saudino_The Minion,http://www.fightmetric.com/fighter-details/f6f9d41669dd3eaa
Brent Primus_,http://www.fightmetric.com/fighter-details/46caf130099206cd
Cody Gibson_The Renegade,http://www.fightmetric.com/fighter-details/700a674c042b7a96
Charles Rosa_Boston Strong,http://www.fightmetric.com/fighter-details/40093d1d2d78394e
Gabe Lemley_,http://www.fightmetric.com/fighter-details/fd4578cac86d75ca
Elvis Mutapcic_The King,http://www.fightmetric.com/fighter-details/28c55b4087a6f136
John Makdessi_The Bull,http://www.fightmetric.com/fighter-details/c21a036b4e012f1c
Chad Vance_,http://www.fightmetric.com/fighter-details/26d61e92a6069cd2
Naho Sugiyuma_Sugi Rock,http://www.fightmetric.com/fighter-details/b205d4f2ff44bc89
Rick Roufus_,http://www.fightmetric.com/fighter-details/872b018076f831b0
Chan Sung Jung_The Korean Zombie,http://www.fightmetric.com/fighter-details/c451d67c09c55418
Kelvin Gastelum_,http://www.fightmetric.com/fighter-details/8c0580d4fff106c1
Frankie Perez_,http://www.fightmetric.com/fighter-details/96c336b463e0662c
Oskar Piechota_Imadlo,http://www.fightmetric.com/fighter-details/1cf7ccf64a5bf24e
Wade Shipp_The Nightmare,http://www.fightmetric.com/fighter-details/a9a314cc77d90b6e
Joe Veres_,http://www.fightmetric.com/fighter-details/c6d8ae3b016d5ad5
Anthony Hamilton_Freight Train,http://www.fightmetric.com/fighter-details/c727c7d31c50c4cf
Raphael Assuncao_,http://www.fightmetric.com/fighter-details/2f13e4020cea5b38
Raoni Barcelos_,http://www.fightmetric.com/fighter-details/b9f28e7045fdfce7
Muslim Salikhov_King of Kung Fu,http://www.fightmetric.com/fighter-details/447f9858ae78f921
Davi Ramos_Tasmanian Devil,http://www.fightmetric.com/fighter-details/0052de90691d4a93
Tom Blackledge_,http://www.fightmetric.com/fighter-details/2adb11835acd815b
Darren Stewart_The Dentist,http://www.fightmetric.com/fighter-details/a17ad5a5048e8c3f
Mike Minniger_,http://www.fightmetric.com/fighter-details/c8aa3541bec4042e
Kotetsu Boku_,http://www.fightmetric.com/fighter-details/d227958e8a0c1466
Cain Carrizosa_The Insane,http://www.fightmetric.com/fighter-details/064b7dc68d786254
Demetrius Gioulacos_,http://www.fightmetric.com/fighter-details/a58114c6dd0add64
Travis Galbraith_The Gladiator,http://www.fightmetric.com/fighter-details/06dc1a58663579d2
Dominic Clark_,http://www.fightmetric.com/fighter-details/8a64b3f87ad29d1e
Jerrel Venetiaan_,http://www.fightmetric.com/fighter-details/602bb270f2bdbf02
John Devine_,http://www.fightmetric.com/fighter-details/2bcc39af95d6f2e8
Homer Moore_The Rock,http://www.fightmetric.com/fighter-details/e56df3c1d8b4b1cc
Roy Nelson_Big Country,http://www.fightmetric.com/fighter-details/3f7c14c7eca7195d
Frank Gomez_,http://www.fightmetric.com/fighter-details/a0a680fe2f6cc8e6
Jesse Jones_,http://www.fightmetric.com/fighter-details/bc0f994de0521926
Walter Smith-Cotito_,http://www.fightmetric.com/fighter-details/625b65b45c1c6888
Dennis Hallman_Superman,http://www.fightmetric.com/fighter-details/8a8a84b743ae7699
Joe Proctor_,http://www.fightmetric.com/fighter-details/a36556bb1565e32d
Aaron Ely_The Cyborg,http://www.fightmetric.com/fighter-details/1741343f0ca34dd5
Ray Sefo_Sugarfoot,http://www.fightmetric.com/fighter-details/646d5dbe509accd4
Martin Day_The Spartan,http://www.fightmetric.com/fighter-details/ea3dcc417c322064
Bryan Vetell_,http://www.fightmetric.com/fighter-details/13a0fb8fbdafb54f
Jack Nilson_,http://www.fightmetric.com/fighter-details/53e533db1b8e9712
Pat Barry_HD,http://www.fightmetric.com/fighter-details/658c3465581ae46b
Joao Paulo Faria_,http://www.fightmetric.com/fighter-details/04e9955f33e0c267
David Levicki_,http://www.fightmetric.com/fighter-details/49590e0508b2c19f
