Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
1/3/1950,16.66,16.66,16.66,16.66,1260000,0,,,,U
1/4/1950,16.85,16.85,16.85,16.85,1890000,0,,,0,U
1/5/1950,16.93,16.93,16.93,16.93,2550000,0,,,0,U
1/6/1950,16.98,16.98,16.98,16.98,2010000,0,,,0,U
1/9/1950,17.09,17.09,17.08,17.08,3850000,0.01,,,0,D
1/10/1950,17.030001,17.030001,17.030001,17.030001,2160000,0,,,0,U
1/11/1950,17.09,17.09,17.09,17.09,2630000,0,,,0,D
1/12/1950,16.76,16.76,16.76,16.76,2970000,0,,,0,D
1/13/1950,16.67,16.67,16.67,16.67,3330000,0,,,0,U
1/16/1950,16.65,16.719999,16.65,16.719999,2640000,0.069999,,,1,U
1/17/1950,16.860001,16.860001,16.860001,16.860001,1790000,0,,,0,D
1/18/1950,16.85,16.85,16.85,16.85,1570000,0,,,0,U
1/19/1950,16.870001,16.870001,16.870001,16.870001,1170000,0,,,0,U
1/20/1950,16.9,16.9,16.9,16.9,1440000,0,,,0,U
1/23/1950,16.940001,16.940001,16.92,16.92,1890000,0.020001,,,0,D
1/24/1950,16.860001,16.860001,16.860001,16.860001,1250000,0,,,0,D
1/25/1950,16.74,16.74,16.74,16.74,1700000,0,,,0,D
1/26/1950,16.73,16.73,16.73,16.73,1150000,0,,,0,U
1/27/1950,16.82,16.82,16.82,16.82,1250000,0,,,0,U
1/30/1950,16.9,17.02,16.9,17.02,2380000,0.12,,,0,U
1/31/1950,17.049999,17.049999,17.049999,17.049999,1690000,0,,,0,D
2/1/1950,17.049999,17.049999,17.049999,17.049999,1810000,0,,,1,U
2/2/1950,17.23,17.23,17.23,17.23,2040000,0,,,0,U
2/3/1950,17.290001,17.290001,17.290001,17.290001,2210000,0,,,0,U
2/6/1950,17.35,17.35,17.32,17.32,2220000,0.03,,,0,D
2/7/1950,17.23,17.23,17.23,17.23,1360000,0,,,0,D
2/8/1950,17.209999,17.209999,17.209999,17.209999,1470000,0,,,0,U
2/9/1950,17.280001,17.280001,17.280001,17.280001,1810000,0,,,0,D
2/10/1950,17.24,17.24,17.24,17.24,1790000,0,,,0,D
2/14/1950,17.209999,17.209999,17.059999,17.059999,3040000,0.15,,,0,D
2/15/1950,17.059999,17.059999,17.059999,17.059999,1730000,0,,,0,D
2/16/1950,16.99,16.99,16.99,16.99,1920000,0,,,0,U
2/17/1950,17.15,17.15,17.15,17.15,1940000,0,,,0,U
