Date,Adj Close,Open,High,Low,Range,Volume,Unemp Claims,Ret Sales,Ind Prod,NFP,Direction
12/3/2007,1504.660034,1479.630005,1510.630005,1460.660034,49.969971,17076810000,344000,336844,105.3213,138413,D
12/10/2007,1467.949951,1505.109985,1523.569946,1467.780029,55.789917,18510280000,332000,336844,105.3213,138413,U
12/17/2007,1484.459961,1465.050049,1485.400024,1435.650024,49.75,18729500000,350000,336844,105.3213,138413,D
12/24/2007,1478.48999,1484.550049,1498.849976,1471.699951,27.150025,8064200000,355000,336844,105.3213,138413,D
12/31/2007,1411.630005,1475.25,1475.829956,1411.189941,64.640015,13489030000,360000,336844,105.3213,138413,D
1/7/2008,1401.02002,1414.069946,1430.280029,1378.699951,51.580078,23944010000,346000,337537,105.0195,138430,D
1/14/2008,1325.189941,1402.910034,1417.890015,1312.51001,105.380005,25032320000,322000,337537,105.0195,138430,U
1/21/2008,1330.609985,1312.939941,1368.560059,1270.050049,98.51001,20403920000,321000,337537,105.0195,138430,U
1/28/2008,1395.420044,1330.699951,1396.02002,1322.26001,73.76001,22697710000,366000,337537,105.0195,138430,D
2/4/2008,1331.290039,1395.380005,1395.380005,1316.75,78.630005,20177290000,350000,334524,104.6741,138346,U
2/11/2008,1349.98999,1331.920044,1369.22998,1320.319946,48.910034,18722260000,344000,334524,104.6741,138346,U
2/18/2008,1353.109985,1355.859985,1367.939941,1327.040039,40.899902,14753390000,339000,334524,104.6741,138346,D
2/25/2008,1330.630005,1352.75,1388.339966,1325.420044,62.919922,20232420000,354000,334524,104.6741,138346,D
3/3/2008,1293.369995,1330.449951,1344.189941,1282.430054,61.759887,22041330000,345000,335104,104.4179,138268,D
3/10/2008,1288.140015,1293.160034,1333.26001,1272.660034,60.599976,24011740000,348000,335104,104.4179,138268,U
3/17/2008,1329.51001,1283.209961,1341.51001,1256.97998,84.53003,22522410000,369000,335104,104.4179,138268,D
3/24/2008,1315.219971,1330.290039,1359.680054,1312.949951,46.730103,20424700000,368000,335104,104.4179,138268,U
3/31/2008,1370.400024,1315.920044,1380.910034,1312.810059,68.099975,20877750000,387000,335104,104.4179,138268,D
4/7/2008,1332.829956,1373.689941,1386.73999,1331.209961,55.530029,18316890000,354000,335357,103.6403,138058,U
4/14/2008,1390.329956,1332.199951,1395.900024,1324.349976,71.550048,19342880000,365000,335357,103.6403,138058,U
4/21/2008,1397.839966,1387.719971,1399.109985,1369.839966,29.270019,19698890000,349000,335357,103.6403,138058,U
4/28/2008,1413.900024,1397.959961,1422.719971,1383.069946,39.650025,20333020000,370000,335357,103.6403,138058,D
5/5/2008,1388.280029,1415.339966,1421.569946,1384.109985,37.459961,18756220000,370000,337762,103.1178,137872,U
5/12/2008,1425.349976,1389.400024,1425.819946,1386.199951,39.619995,19047660000,366000,337762,103.1178,137872,D
5/19/2008,1375.930054,1425.280029,1440.23999,1373.719971,66.520019,19528620000,367000,337762,103.1178,137872,U
